"period","stateid","price","sales"
"2018-08","GA",10.33,"13638.30948"
"2018-08","HI",29.27,"857.34693"
"2018-08","IA",10.73,"4743.35058"
"2018-08","ID",8.4,"2365.2806"
"2018-08","IL",9.72,"14012.49628"
"2018-08","IN",9.87,"9832.93419"
"2018-08","KS",11.21,"4250.31875"
"2018-08","KY",8.44,"7191.2103"
"2018-08","LA",8.1,"9080.39919"
"2018-08","MA",18.19,"5494.47516"
"2018-08","MAT",13.15,"37073.98518"
"2018-08","MD",11.3,"6024.58434"
"2018-08","ME",13.26,"1180.14598"
"2018-08","MI",11.39,"10221.37096"
"2018-08","MN",10.81,"6295.08928"
"2018-08","MO",11.15,"7884.27934"
"2018-08","MS",9.21,"4920.4109"
"2018-08","MT",9.07,"1296.90572"
"2018-08","MTN",10.08,"29526.46836"
"2018-08","NC",9.46,"13349.8974"
"2018-08","ND",9.35,"1657.94928"
"2018-08","NE",9.75,"2914.09179"
"2018-08","NEW",17.4,"12067.72819"
"2018-08","NH",16.57,"1080.25725"
"2018-08","NJ",13.6,"8420.90871"
"2018-08","NM",10.01,"2362.58933"
"2018-08","NV",9.55,"4359.27002"
"2018-08","NY",15.73,"14957.61138"
"2018-08","OH",10.05,"14342.44134"
"2018-08","OK",8.66,"6341.16484"
"2018-08","OR",8.86,"4367.55962"
"2018-08","PA",10.06,"13695.46509"
"2018-08","PACC",15.68,"41541.63349"
"2018-08","PACN",25.81,"1326.23019"
"2018-08","RI",17.06,"822.62683"
"2018-08","SAT",9.87,"80879.66636"
"2018-08","SC",8.1,"8074.04638"
"2018-08","SD",10.55,"1129.39716"
"2018-08","TN",9.73,"9806.65614"
"2018-08","TX",8.82,"43866.29342"
"2018-08","US",11.01,"381130.62934"
"2018-08","UT",8.83,"3171.01753"
"2018-08","VA",9.76,"10970.05022"
"2018-08","VT",15.09,"507.46674"
"2018-08","WA",8,"7299.47561"
"2018-08","WI",10.74,"6719.9833"
"2018-08","WNC",10.75,"28874.47617"
"2018-08","WSC",8.64,"64137.70836"
"2018-08","WV",8.7,"2861.31426"
"2018-08","WY",8.02,"1416.84092"
"2018-07","AK",20.33,"466.20923"
"2018-07","AL",9.85,"8707.46856"
"2018-07","AR",8,"4967.55383"
"2018-07","AZ",11.62,"9086.48922"
"2018-07","CA",18.3,"25342.87046"
"2018-07","CO",10.44,"5550.18853"
"2018-07","CT",18.04,"2980.47171"
"2018-07","DC",11.41,"1109.12236"
"2018-07","DE",10.2,"1152.74558"
"2018-07","ENC",10.39,"54855.47482"
"2018-07","ESC",9.4,"30625.73119"
"2018-07","FL",10.22,"23731.58097"
"2018-07","GA",10.22,"13751.25337"
"2018-07","HI",29.78,"836.75082"
"2018-07","IA",10.84,"4536.27278"
"2018-07","ID",8.27,"2673.68855"
"2018-07","IL",9.51,"13938.27356"
"2018-07","IN",9.87,"9701.21473"
"2018-07","KS",11.3,"4348.44872"
"2018-07","KY",8.6,"7006.02637"
"2018-07","LA",8.15,"9072.85244"
"2018-07","MA",18.13,"5153.08335"
"2018-07","MAT",13.35,"36034.73154"
"2018-07","MD",11.53,"5963.82513"
"2018-07","ME",13.46,"992.0884"
"2018-07","MI",12.13,"10229.7942"
